"Date","Price","Open","High","Low","Vol.","Change %"
"01-09-2019","1,472.90","1,535.20","1,566.20","1,470.50","8.16M","-3.69%"
"01-08-2019","1,529.40","1,425.60","1,565.00","1,412.10","9.04M","6.37%"
"01-07-2019","1,437.80","1,401.80","1,454.40","1,384.70","8.11M","1.70%"
"01-06-2019","1,413.70","1,312.50","1,442.90","1,310.90","7.03M","7.83%"
"01-05-2019","1,311.10","1,284.20","1,311.90","1,267.30","5.92M","1.98%"
"01-04-2019","1,285.70","1,295.90","1,314.70","1,267.90","4.90M","-0.99%"
"01-03-2019","1,298.50","1,315.90","1,324.50","1,280.80","5.44M","-1.34%"
"01-02-2019","1,316.10","1,323.00","1,349.80","1,304.70","3.67M","-0.69%"
"01-01-2019","1,325.20","1,285.00","1,331.10","1,275.30","5.00M","3.43%"
"01-12-2018","1,281.30","1,228.60","1,286.50","1,228.50","3.93M","4.51%"
"01-11-2018","1,226.00","1,216.60","1,239.30","1,196.60","5.14M","0.91%"
"01-10-2018","1,215.00","1,196.10","1,246.00","1,186.00","6.22M","1.57%"
"01-09-2018","1,196.20","1,207.00","1,218.00","1,184.30","5.24M","-0.87%"
"01-08-2018","1,206.70","1,232.70","1,233.70","1,167.10","6.04M","-2.18%"
"01-07-2018","1,233.60","1,253.40","1,266.90","1,210.70","5.84M","-1.67%"
"01-06-2018","1,254.50","1,303.00","1,313.00","1,246.90","5.48M","-3.85%"
"01-05-2018","1,304.70","1,316.00","1,326.30","1,281.20","7.34M","-1.10%"
"01-04-2018","1,319.20","1,330.70","1,369.40","1,310.70","6.38M","-0.61%"
"01-03-2018","1,327.30","1,319.30","1,356.80","1,303.60","6.27M","0.71%"
"01-02-2018","1,317.90","1,348.20","1,364.40","1,309.00","5.75M","-1.88%"
"01-01-2018","1,343.10","1,305.30","1,365.40","1,304.60","7.55M","2.58%"
"01-12-2017","1,309.30","1,277.90","1,309.80","1,238.30","4.98M","2.55%"
"01-11-2017","1,276.70","1,271.80","1,300.40","1,265.90","7.44M","0.49%"
"01-10-2017","1,270.50","1,282.20","1,308.40","1,262.80","6.43M","-1.11%"
"01-09-2017","1,284.80","1,326.90","1,362.40","1,278.20","6.62M","-2.83%"
"01-08-2017","1,322.20","1,275.60","1,331.90","1,257.10","6.55M","3.83%"
"01-07-2017","1,273.40","1,241.70","1,277.30","1,204.00","4.85M","2.50%"
"01-06-2017","1,242.30","1,271.60","1,298.80","1,236.50","4.67M","-2.60%"
"01-05-2017","1,275.40","1,269.60","1,276.80","1,214.30","5.37M","0.56%"
"01-04-2017","1,268.30","1,251.90","1,297.40","1,245.40","4.43M","1.37%"
"01-03-2017","1,251.20","1,248.50","1,261.00","1,194.50","5.08M","-0.22%"
"01-02-2017","1,253.90","1,212.20","1,264.90","1,199.70","4.17M","3.51%"
"01-01-2017","1,211.40","1,151.40","1,220.10","1,146.50","4.85M","5.18%"
"01-12-2016","1,151.70","1,175.10","1,190.20","1,124.30","3.30M","-1.89%"
"01-11-2016","1,173.90","1,277.80","1,338.30","1,170.30","5.98M","-7.79%"
"01-10-2016","1,273.10","1,321.00","1,322.60","1,243.20","3.49M","-3.34%"
"01-09-2016","1,317.10","1,311.70","1,357.60","1,305.50","3.66M","0.43%"
"01-08-2016","1,311.40","1,357.20","1,374.20","1,306.90","3.98M","-3.40%"
"01-07-2016","1,357.50","1,324.80","1,377.50","1,310.70","4.61M","2.79%"
"01-06-2016","1,320.60","1,217.90","1,362.60","1,208.20","4.54M","8.47%"
"01-05-2016","1,217.50","1,293.20","1,306.00","1,201.50","4.63M","-5.66%"
"01-04-2016","1,290.50","1,234.10","1,299.00","1,210.30","3.66M","4.44%"
"01-03-2016","1,235.60","1,238.90","1,287.80","1,206.00","4.59M","0.10%"
"01-02-2016","1,234.40","1,118.00","1,263.90","1,115.30","4.08M","10.57%"
"01-01-2016","1,116.40","1,061.50","1,128.00","1,061.00","3.23M","5.30%"
"01-12-2015","1,060.20","1,064.60","1,088.30","1,045.40","2.56M","-0.48%"
"01-11-2015","1,065.30","1,141.30","1,142.70","1,051.60","3.17M","-6.67%"
"01-10-2015","1,141.40","1,114.50","1,191.70","1,103.80","2.91M","2.35%"
"01-09-2015","1,115.20","1,133.80","1,156.40","1,097.70","2.67M","-1.53%"
"01-08-2015","1,132.50","1,095.10","1,169.80","1,080.20","3.18M","3.42%"
"01-07-2015","1,095.10","1,172.40","1,174.40","1,072.30","3.60M","-6.55%"
"01-06-2015","1,171.80","1,189.80","1,205.70","1,162.10","2.70M","-1.51%"
"01-05-2015","1,189.80","1,183.70","1,232.00","1,168.40","2.95M","0.63%"
"01-04-2015","1,182.40","1,183.20","1,224.50","1,174.10","2.87M","-0.07%"
"01-03-2015","1,183.20","1,213.80","1,223.00","1,141.60","3.42M","-2.46%"
"01-02-2015","1,213.10","1,283.00","1,286.50","1,190.00","2.39M","-5.17%"
"01-01-2015","1,279.20","1,184.00","1,307.80","1,167.30","3.64M","8.03%"
"01-12-2014","1,184.10","1,159.40","1,239.00","1,141.70","3.10M","0.73%"
"01-11-2014","1,175.50","1,171.10","1,207.60","1,130.40","3.77M","0.33%"
"01-10-2014","1,171.60","1,209.40","1,255.60","1,160.50","3.49M","-3.30%"
"01-09-2014","1,211.60","1,288.50","1,290.90","1,204.30","2.97M","-5.89%"
"01-08-2014","1,287.40","1,284.20","1,324.30","1,273.40","2.19M","0.36%"
"01-07-2014","1,282.80","1,327.50","1,346.80","1,281.30","3.07M","-2.97%"
"01-06-2014","1,322.00","1,250.50","1,330.40","1,240.20","2.38M","6.10%"
"01-05-2014","1,246.00","1,291.90","1,315.80","1,242.20","2.88M","-3.85%"
"01-04-2014","1,295.90","1,284.60","1,331.40","1,268.40","2.49M","0.94%"
"01-03-2014","1,283.80","1,332.40","1,392.60","1,282.70","3.37M","-2.86%"
"01-02-2014","1,321.60","1,242.00","1,345.60","1,240.40","2.40M","6.60%"
"01-01-2014","1,239.80","1,204.50","1,279.80","1,202.50","2.93M","3.12%"
"01-12-2013","1,202.30","1,250.60","1,267.50","1,181.40","2.62M","-3.85%"
"01-11-2013","1,250.40","1,323.10","1,327.30","1,225.70","2.76M","-5.54%"
"01-10-2013","1,323.70","1,328.20","1,361.80","1,251.00","3.28M","-0.25%"
"01-09-2013","1,327.00","1,394.00","1,416.40","1,291.50","3.11M","-4.95%"
"01-08-2013","1,396.10","1,323.40","1,434.00","1,271.80","3.22M","6.33%"
"01-07-2013","1,313.00","1,232.90","1,348.70","1,206.90","3.68M","7.30%"
"01-06-2013","1,223.70","1,388.80","1,423.30","1,179.40","3.49M","-12.15%"
"01-05-2013","1,393.00","1,475.60","1,487.20","1,336.30","4.33M","-5.37%"
"01-04-2013","1,472.10","1,598.10","1,604.30","1,321.50","4.83M","-7.75%"
"01-03-2013","1,595.70","1,578.50","1,616.50","1,560.40","2.94M","1.12%"
"01-02-2013","1,578.10","1,665.20","1,687.00","1,554.30","3.31M","-5.05%"
"01-01-2013","1,662.00","1,676.40","1,697.80","1,626.00","3.34M","-0.82%"
"01-12-2012","1,675.80","1,715.50","1,725.00","1,636.00","2.45M","-2.15%"
"01-11-2012","1,712.70","1,720.40","1,755.00","1,672.50","3.45M","-0.37%"
"01-10-2012","1,719.10","1,773.70","1,798.10","1,698.70","2.93M","-3.09%"
"01-09-2012","1,773.90","1,693.40","1,790.00","1,687.60","3.16M","5.11%"
"01-08-2012","1,687.60","1,617.50","1,695.50","1,586.30","2.56M","4.52%"
"01-07-2012","1,614.60","1,599.60","1,633.30","1,554.40","2.93M","0.65%"
"01-06-2012","1,604.20","1,561.80","1,642.40","1,545.50","3.27M","2.56%"
"01-05-2012","1,564.20","1,666.10","1,672.30","1,526.70","3.94M","-6.01%"
